Serial Number,Application Date,Class Index,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
TM2025012187,18 April 2025,,,,"Mark translation: Good, moral, force, power, strength. Mark transliteration: Hao de li",Advisory services relating to the renovation of property;,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 152"
TM2025014449,6 May 2025,,,,,,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025014932,9 May 2025,,,,,Cleaning of extractor hoods for kitchens;,"Lee Mei Zhen, Vb23-02, You Vista@You City, You 
Vista, Jalan Persiaran You City, Taman Suntex, 43200 
Cheras, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 153"
TM2025027776,14 August 2025,,,,"Proceeding Under Subsection 17(5) of TMA 2019 No colour claim Registration of this trade mark shall give no right to the exclusive use of the word ""residences"". Advisory services in the fields of construction, repair, restoration, maintenance and installation; Building and construction services;",Building construction consultancy;,"Lim Wee Foo, TradeNexus Consultancy Sdn. Bhd. 
183, Woon Estate, 73000 Tampin, Negeri Sembilan"
TM2021008148,22 March 2021,,"24 September 2020,",,,,"Neoh Kwok Khiang (Alex), Intellect Worldwide (KL) 
Sdn Bhd; Suite 13A-04, Wisma MCA, 163, Jalan Ampang, 
50450 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 154"
TM2025012532,21 April 2025,,,,No colour claim,Telecommunications services;,"Gu Jian Hui, Amica IP Services (Malaysia) Sdn 
Bhd, 164B-1, 1 st Floor, Wisma Sekiong Jalan Ngee Heng, 
80000 Johor Bahru, Johor"
TM2020029051,3 December 2020,,,,The trade mark is limited to the colours as shown in the representation on the form of application.,Advisory services relating to transportation;,"Flexly Consulting Sdn Bhd, No. 9-2, Jalan USJ 
1/1A, Taman Subang Mewah, 47620 Subang Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 155"
TM2021013271,7 May 2021,,"11 November 2020,",,,,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3-
3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar 
Puchong, 47160 Puchong, Selangor"
TM2022004282,17 February 2022,,,,"Advertisement of a series of five trade marks The second, third, fourth and fifth trade marks in the series are limited to the colours as shown in the representation on the form of application. Car transport; Towing;",Vehicle breakdown towing services;,"Chai Shwu Pyng, Amica IP Services (Malaysia) 
Sdn Bhd, 164B-1, 1st Floor, Wisma Sekiong, Jalan Ngee 
Heng, 80000 Johor Bahru, Johor"
TM2025013536,29 April 2025,,,,No colour claim,Cargo unloading services;,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 156"
TM2025027242,12 August 2025,,,,Proceeding Under Subsection 17(5) of TMA 2019 Advertisement of a series of two trade marks The second trademark in the series is limited the colours as shown in the representation on the form of application,Arranging for the shipping of cargo;,"Nora Lam Siew Wan, Nora S. W. Lam & Associates 
Suite 18.01, Level 18, Johor Bahru City Square (Office 
Tower) No.106 - 108, Jalan Wong Ah Fook, 80000 Johor 
Bahru, Johor"
TM2022017901,15 July 2022,,,,Customized printing of company names and logos for promotional and advertising purposes on the goods of others; Sewing services; Custom manufacturing; Printing; Offset printing services; 3d printing services; Air freshening services; Air deodorising; Purification of air; Design printing for others;,Custom imprinting of clothing;,"CHAN MAR WIN, 28-3 (Second Floor), Jalan PJU 
5/4, Dataran Sunway, Kota Damansara, 47810 Petaling 
Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 157"
TM2025012355,18 April 2025,,,,,,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025013406,28 April 2025,,,,"Registration of this trade mark shall give no right to the exclusive use of the word ""studio"".",Printing and providing information relating thereto;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, 46000 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 158"
TM2025013415,28 April 2025,,,,"The trademark is limited to the colours as shown in the representation on the form of application. Registration of this trade mark shall give no right to the exclusive use of the words ""print house"".",Design printing for others;,"Lee Kim Hong, Intellect Franchising Sdn. Bhd. 
IPeople House, 7A Clove Hall Road Pulau Pinang, 10050 
Pulau Pinang"
TM2025014436,6 May 2025,,,,,Design printing for others;,"Azmira Binti Abd Aziz, Mohd Anuar & Co. 194-A, 
Tingkat 1, Jalan PSK Utama 5 Pekan Simpang Kuala, 05400 
Alor Star,  Kedah 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 1"
TM2023003967,17 February 2023,,,,"Mark translation: ""work"", ""conquers"", ""all"". Mark transliteration: ""labor"", ""omnia"", ""vincit"". Disclaimer: the words ""cheltenham"", ""college"" and the latin words ""labor omnia vincit"" separately. Education services;","Education, teaching and training;","Azmira Binti Abd Aziz, Mohd Anuar & Co. 194-A, 
Tingkat 1, Jalan PSK Utama 5 Pekan Simpang Kuala, 05400 
Alor Star,  Kedah 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 159"
TM2023003971,17 February 2023,,,,"Disclaimer: the words ""cheltenham"" and ""college"" separately. Education services;","Education, teaching and training;","Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 160 
CHELTENHAM COLLEGE"
TM2023003969,17 February 2023,,,,"Mark translation: ""cheltenham college"". Mark transliteration: ""qiao ting han gong xue"". Disclaimer: the chinese characters ""qiao ting han"" and ""gong xue"" separately. Education services;","Education, teaching and training;","Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, 
Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar ,59000 Kuala Lumpur"
TM2023008952,27 March 2023,,,,,Aerial photography services;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar 59000 
Kuala Lumpur"
TM2023011885,27 April 2023,,,,,Arranging and conducting workshops in weight control;,"Lim Shook Yee, Lymesol Sdn. Bhd.; Unit 2-1, The 
Podium, Tower 3, UOA Business Park, Jalan Pengaturcara 
U1/51, Section U1, 40150 Shah Alam, Selangor 
ULTRA EM"
TM2023024227,16 August 2023,,,,Education services; Distance learning services provided online;,Providing online classes via an online forum;,"Chua Por Yean, Ian Intellectual Property Sdn. Bhd., 
Block A-3-5 Plaza Arkadia, No. 3, Jalan Intisari Perdana, 
Desa Parkcity, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 162"
TM2024039856,16 December 2024,,,,The trademark is limited to the colours as shown in the representation on the form of application.,Amusement park and theme park services;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2024039896,17 December 2024,41,,,,Academy services relating to education;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025004921,19 February 2025,,,,,,
TM2025006317,28 February 2025,,,,"Photo editing; Photography; Portrait photography; Providing online images, not downloadable; Organization of shows [impresario services]; Game services provided online from a computer network;",Entertainment services;,"SHOOK LIN & BOK, 20th Floor, AmBank Group 
Building, 55 Jalan Raja Chulan, 50200 Kuala Lumpur"
TM2025009109,25 March 2025,,,,,"Mark translation: ""cheerful"";","Gan Wai Kwang, Tiger Intellectual Sdn Bhd; B-1-
11, Plaza Metro Prima, Jalan Metro 1, Metro Prima, 52100 
Kepong, Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 164"
TM2025010478,4 April 2025,,,,,,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
ODYSSEY"
TM2025012069,17 April 2025,,,,,Arranging of competitions;,"Patrick A/L M.G Mirandah, Mirandah Asia 
(Malaysia) Sdn. Bhd. Suite 3B-19-3, Level 19, Block 3B, 
Plaza Sentral, Jalan Stesen Sentral 5, 50470 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 165"
TM2025012325,18 April 2025,,,,Education services;,Academy teaching services;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025014124,2 May 2025,,,,Advertisement of a series of two trade marks The first trademark in the series is limited to the colours as shown in the representation on the form of application. Teaching; Educational services;,Organising and arranging exhibitions for entertainment purposes;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur"
TM2025015205,13 May 2025,,"24 February 2025,",,"International priority date claimed : 24 February 2025, Australia The trademark is limited to the colours as shown in the representation on the form of application.",Sporting and cultural activities;,"Low Chee Keong, IPMAN Global Intellect Sdn. Bhd. No. 3A-08, Hab Citrine, Persiaran Medini 
3, Bandar Medini Iskandar, 79250 Iskandar Puteri, Johor"
TM2025015241,13 May 2025,,,,Advertisement of a series of two trade marks The first trademark in the series is limited to the colours as shown in the representation on the form of application.,Entertainment services;,"Annisa Aaliyya Chua Binti Abdullah, Datin, Abion 
(M) Sdn. Bhd., 19-14-03, Level 14, UOA Centre, 19 Jalan 
Pinang, 50450 Kuala Lumpur"
TM2025015234,13 May 2025,,,2015060273,By consent of the registered proprietor of the trade mark registration no: 2015060273,Entertainment services;,"Drewmarks Patents & Design (Malaysia) Sdn Bhd, 9th. Floor, Bangunan Getah Asli, 148, 
Jalan Ampang, Ampang 50450"
TM2020019060,28 August 2020,,,,It is a condition of registration that the mark shall not be assigned or transferred to any private entity. Scientific and technological services and research and design relating thereto; Cloud computing; Computer programming;,Computer security consultancy;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur 
MYTRUSTSEAL"
TM2024032660,22 October 2024,,,,Providing online non-downloadable software for analyzing medical laboratory results.,"VIBRANT HOLDINGS, LLC ;","Deepak Chandrasekaran Pillai, Christopher & Lee 
Ong Level 22, Axiata Tower No. 9, Jalan Stesen Sentral 5, 
50470 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 168 
VIBRANT"
TM2025014382,6 May 2025,42,,,Software engineering services.,ASHADE TECH ASIA SDN BHD ;,"Wong Jin Nee, Wong Jin Nee & Teo 13A-5 Level 
13A, Menara Milenium 8 Jalan Damanlela, Bukit Damansara, 
50490 Kuala Lumpur 
ASHADE"
TM2025014383,6 May 2025,42,,,Software engineering services.,ASHADE TECH ASIA SDN BHD ;,"Gregory Marimuthu a/l Gevanantham, Gateway IP 
Services Sdn Bhd, A-30-3, Level 30 Tower  A, Menara UOA 
Bangsar, Jalan Bangsar Utama 1, 59000 Kuala Lumpur 
WXREACH"
TM2025014416,6 May 2025,42,,,"Providing online non-downloadable computer programs [application service provider]. ASHADE TECH ASIA SDN BHD ; 1 Sentral, Level 16, Jalan Stesen Sentral 5, KL Sentral, 50470 Kuala Lumpur, MALAYSIA AGENT : Gregory Marimuthu a/l Gevanantham, Gateway IP Services Sdn Bhd, A-30-3, Level 30 Tower A, Menara UOA Bangsar, Jalan Bangsar Utama 1, 59000 Kuala Lumpur CLASS : 42 TM2025014416 6 May 2025","Design, testing and analysis of integrated circuits;","Gregory Marimuthu a/l Gevanantham, Gateway IP 
Services Sdn Bhd, A-30-3, Level 30 Tower  A, Menara UOA 
Bangsar, Jalan Bangsar Utama 1, 59000 Kuala Lumpur"
TM2025014418,6 May 2025,,,,,"Design, testing and analysis of integrated circuits;","Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 169"
TM2025014420,6 May 2025,,,,,"Design, testing and analysis of integrated circuits;","Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur"
TM2025015239,13 May 2025,,,2015060273,By consent of the registered proprietor of the trade mark registration no: 2015060273,Computer game software development;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur"
TM2020023051,7 October 2020,,,,"Advertisement of a series of two trade marks The second trade mark in the series is limited to the colours as shown in the representation on the form of application Restaurants; Restaurant services; Self-service restaurant services; Cafes; Cafeterias; Takeaway food and drink services; Bar services; Rental of chairs, tables, table linen, glassware and food service apparatus; Café services.",VINEYARD F&B SDN. BHD.  ;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-10, Vertical Business Suites, No. 8, Jalan 
Kerinchi, Bangsar South, 59200 Kuala Lumpur"
TM2022006554,15 March 2022,,,,"Registration of this trade mark shall give no right to the exlusive use of the words ""bubur ayam"".",Café and snack-bar services;,"Christopher & Lee Ong, Level 22, Axiata Tower, 
No. 9 Jalan Stesen Sentral 5, Kuala Lumpur Sentral, Kuala 
Lumpur 50470"
TM2022018021,18 July 2022,,,,Proceeding under subsection 17(5) of TMA 2019,Catering for the provision of food and beverages;,"Aravind A/L Gangadaran, Primus IP Sdn. Bhd.  
13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr 
Ismail, 60000 Kuala Lumpur"
TM2023009952,11 April 2023,,,,Registration of this trade mark shall give no right to the exclusive use of the word “sushi” except as shown in the representation on the form of application.,Bar and bistro services;,
TM2023010633,13 April 2023,,,,,Services for providing food and drink;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur 
GRAB SIGNATURES"
TM2023012835,9 May 2023,,,,The trade mark is limited to the colours as shown in the representation on the form of application. The transliteration of the chinese characters appearing in the mark is 'lian ji' which has no meaning,Providing food and drink for guests in restaurants;,"Wong & Partners, Level 21, The Gardens South 
Tower, Mid Valley City,Lingkaran Syed Putra, 59200 Kuala 
Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 172"
TM2023039808,28 December 2023,,,,No colour claim Restaurant services; Cafe services; Snack bar and canteen services;,Take-away restaurant services;,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur"
TM2024035034,7 November 2024,,,,"Registration of this trademark shall give no right to the exclusive use of the words ""BBQ lamb"" and ""KL"" Bistro services;",Booking of restaurant seats;,"Flexly Consulting Sdn Bhd, No. 9-2, Jalan USJ 
1/1A, Taman Subang Mewah, 47620 Subang Jaya, Selangor"
TM2024037584,28 November 2024,,,,"Mark translation: ""fish"" , ""king"", ""shop"" respectively but has no meaning when read together. Mark transliteration: ""yu"", ""wang"", ""guan"".",Cafe and restaurant services;,"Nursyuhada Binti Mohd Shafawi, No. 8, Jalan Seri 
Putra 3/D, Bandar Seri Putra, 43000 Kajang, Selangor"
TM2024040092,18 December 2024,,"22 October 2024,",,"International priority date claimed : 22 October 2024, Jamaica Temporary accommodation services; Hotel services; Reservations services for hotel accommodations;","Restaurant, catering, bar and cocktail lounge services;","Lee Kim Hong, Intellect Franchising Sdn. Bhd. 
IPeople House, 7A Clove Hall Road,  10050 Pulau Pinang 
SERIES BY MARRIOTT"
TM2025003127,3 February 2025,,,,No colour claim Café and restaurant services.,MY MEE HIRIS EXPRESS SDN. BHD. ;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 174"
TM2025007987,14 March 2025,43,,,,,"Thay Pee Ywai, NBS Intelectual Sdn. Bhd., I-3-3, 
Block I, Persiaran Wawasan, Pusat Bandar Puchong, 47160 
Puchong, Selangor"
TM2025010013,2 April 2025,43,,,"No colour claim Mark translation: ""love"" Mark transliteration: ""ai"" Restaurant services; Café services; Cafeteria services; Bistro services;",Services for providing food and drink;,"Thay Pee Ywai, NBS Intelectual Sdn. Bhd., I-3-3, 
Block I, Persiaran Wawasan, Pusat Bandar Puchong, 47160 
Puchong, Selangor"
TM2025010404,4 April 2025,,,,Restaurant services; Canteen services; Self-service restaurant services; Cafeteria services; Bar services; Snack- bar services;,Rental of meeting rooms;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 175 
Sparkora BBQ"
TM2025010405,4 April 2025,,,,Cafés;,Catering of food and drinks;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025010407,4 April 2025,,,,Cafés;,Catering of food and drinks;,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 176"
TM2025012197,18 April 2025,,,,No colour claim Services for providing food and drink.,ALUN HUGH GEREINT EVANS ;,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
TM2025012783,23 April 2025,,,,Preparation and provision of food and drink for consumption on and off the premises; Preparation and provision of food and drink for immediate consumption; Preparation of food and beverages;,Providing food and beverages;,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
TM2025013182,24 April 2025,,,,,Mark transaltion: “mo” means burning;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 177"
TM2025013589,29 April 2025,,,,,Catering of food and drinks;,"Chua Chee Hang, 3A-3-2, PV 128, No. 128, Jalan 
Genting Klang, 53300 Setapak, Kuala Lumpur"
TM2025013679,29 April 2025,,,,,,"Azmira Binti Abd Aziz, Mohd Anuar & Co. 194-A, 
Tingkat 1, Jalan PSK Utama 5 Pekan Simpang Kuala, 05400 
Alor Star,  Kedah"
TM2025013925,30 April 2025,43,,,The trademark is limited to the colours as shown in the representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”. Café services; Cafeteria services; Cake decorating; Canteen services; Decorating of food;,Food and drink catering;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 178"
TM2025014135,2 May 2025,,,,No colour claim,Services for providing food and drink;,"Nur Atiqah Bt Samian, TAG Intellectual Property 
Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade 
Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur"
TM2025014189,2 May 2025,,,,,Catering For The Provision Of Food And Beverages;,"Chia Sew Yeng, c/o Urkey IP Sdn Bhd, A-18-05, Trefoil, No. 2, Jalan Setia Dagang AH 
U13/AH, Setia Alam, 40170 Shah Alam, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 179"
TM2025014446,6 May 2025,,,,Food kiosk services being services for providing food and drink;,Carry-out food services;,"Yap Chun Sian, No.28, Jalan Putra Permai 9, 
Taman Equine, 43300 Seri Kembangan, Selangor"
TM2025014453,7 May 2025,,,,,Services for providing food and drink;,"Azmira Binti Abd Aziz, Mohd Anuar & Co. 194-A, 
Tingkat 1, Jalan PSK Utama 5, Pekan Simpang Kuala, 05400 
Alor Star,  Kedah 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 180"
TM2025014853,8 May 2025,,,,,Providing food and drink;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, 46000 Petaling Jaya, Selangor"
TM2025015661,15 May 2025,43,,,,Hotel accommodation services;,"Narayanan a/l Arunachalam, Nara' s Secretarial 
Services; No. 6, Jalan Desa 6/2 , Taman Desa Country 
Homes, 48000 Rawang, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 181"
TM2025015663,15 May 2025,,,,,Hotel accommodation services;,"Narayanan a/l Arunachalam, Nara' s Secretarial 
Services; No. 6, Jalan Desa 6/2 , Taman Desa Country 
Homes, 48000 Rawang, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 181"
TM2021036453,28 December 2021,43,,,"Registration of this trade mark shall give no right to the exclusive use of the words ""wound dressing. Physiotherapy at home"".",Home nursing aid services;,"Narayanan a/l Arunachalam, Nara' s Secretarial 
Services; No. 6, Jalan Desa 6/2 , Taman Desa Country 
Homes, 48000 Rawang, Selangor"
TM2022032117,30 November 2022,,,,No colour claim Disclaimer: “klinik pergigian”. Dental clinic services.,MEDZEN DENTAL SDN BHD ;,"Wong Zhia Vern, Venture Intellectual Property Sdn. 
Bhd., B-5-8, Plaza Mont Kiara, Mont Kiara, 50480 Kuala 
Lumpur"
TM2023009153,29 March 2023,44,,,,,"Mohd. Faizal Bin Ismail, Teraju IP Sdn. Bhd., No 7-
2, Jalan Dataran Jade 2/2, Dataran Jade 2, Jade Hills, 43000 
Kajang, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 182"
TM2023011883,27 April 2023,,,,,,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur 
ULTRA EM"
TM2025003237,4 February 2025,,,,Acupuncture services;,Advisory services relating to health;,"Chua Por Yean, Ian Intellectual Property Sdn. Bhd., 
Block A-3-5 Plaza Arkadia, No. 3, Jalan Intisari Perdana, 
Desa Parkcity, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 183"
TM2025010314,3 April 2025,,,,,Beauty and hair care services;,"Tan Hing Hong, IP Gennesis Sdn Bhd;   A1-10-08, 
Arcoris Mont Kiara, 10, Jalan Kiara, Mont Kiara, 50480 Kuala 
Lumpur"
TM2025012188,18 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. Hair salon services;,Hairdressing and beauty salon services;,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 184"
TM2025014127,2 May 2025,,,,"Advertisement of a series of two trade marks The first trademark in the series is limited to the colours as shown in the representation on the form of application. Provision of medical, hygienic or beauty care for human beings; Hygienic and beauty care services.",HEEPI MANAGEMENT SDN. BHD. ;,"Aravind A/L Gangadaran, Primus IP Sdn. Bhd.  
13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr 
Ismail, 60000 Kuala Lumpur"
TM2025026422,6 August 2025,,,,Proceeding Under Subsection 17(5) of TMA 2019 The trademark is limited to the colours as shown in the representation on the form of application. Medical services;,Dna screening for medical purposes;,"Low Chee Keong, IPMAN Global Intellect Sdn. 
Bhd. No. 3A-08, Hab Citrine, Persiaran Medini 3, Bandar 
Medini Iskandar, 79250 Iskandar Puteri, Johor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 185"
TM2021027056,17 June 2021,,,,"International Registration Number : 1615659 Colour claimed: Yellow, red and white CLASS 1",Chemicals used in industry;,
TM2024022045,26 April 2024,17,,,International Registration Number : 1801802 Mark translation: No meaning Mark transliteration: Fang dian,Lime chloride (chemical fertilizers);,"Drewmarks Patents & Design (Malaysia) Sdn Bhd, 
9th. Floor, Bangunan Getah Asli, 148, Jalan Ampang, 50450 
Ampang, Kuala Lumpur."
TM2024027238,20 May 2024,,"18 April 2024, Japan",,"International Registration Number : 1808497 International priority date claimed : 18 April 2024, Japan CLASS 1 Chemicals;",Surface-active compounds;,"paper; Artificial sweeteners for industrial purposes; 
Flour and starch for industrial purposes; Unprocessed plastics in primary form; Cellulos"
TM2024036639,6 September 2024,,"5 April 2024, Benelux",,"International Registration Number : 1823993 International priority date claimed : 5 April 2024, Benelux Office for Intellectual Property (BOIP)",Chemicals for industrial use;,"Teh Hong Koon, Skrine Unit No. 50-8-1, 8th. Floor, Wisma UOA Damansara 50 Jalan 
Dungun, Damansara Heights,  50490 Kuala Lumpur 
EMFINITY"
