Class Index,Serial Number,Application Date,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
,TM2025015058,9 May 2025,,,"Meat, fish, seafood (not live), poultry and game; Meat extracts; Preserved, frozen, dried and cooked fruits and vegetables; Jellies, jams, compotes; Eggs; Milk, cheese, butter, yogurt and other milk products; Edible oils and fats; Olive oil for food; Fruit spreads; Spreads made from vegetable oils; Food preparations made from meat; Soups; Preparations for making bouillon; Broth; Bouillon; Broth concentrates; Bouillon concentrates; Vegetables soup preparations; Vegetables-based concentrate for cooking; Bottled or canned soups; Bottled or canned dairy-based desserts; Bottled or canned fruit-based desserts; Frozen meals consisting primarily of meat, seafood, fish, poultry and/or vegetables; Chinese style frozen prepared food products, namely, frozen meat-based entrees, frozen meat- based dinners; Canned or frozen meat, seafood, fish, poultry or vegetables; Canned and frozen fruits; Marinated meat, seafood, fish, poultry or vegetables; Prepared and prepackaged meals consisting primarily of seafood, fish, meat, poultry or vegetables; Pre-cooked foodstuffs consisting primarily of meat, fish, poultry and/or vegetables packed in retort pouch; Pre-cooked foodstuffs consisting primarily of meat, fish, poultry and/or vegetables. LEE KUM KEE COMPANY LIMITED ; 2-4 Dai Fat Street, Tai Po Industrial Estate, New Territories, HONG KONG Chan, Jalan Raja Chulan, 50200 Kuala Lumpur",,"Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy Chan, Jalan Raja Chulan, 50200 Kuala Lumpur"
,TM2025015376,14 May 2025,,,"Seafood, not live; fish and seafood, not live; fish, seafood and shellfish, not live; fresh fish, seafood and molluscs, not live; frozen pre-packaged entrées consisting primarily of seafood; processed seafood; frozen pre-packaged main courses consisting primarily of seafood. WYNN WEBS SDN. BHD. ; No 2, Jalan CJ 1 / 6B, Kawasan Perindustrian Cheras Jaya, 43200 Cheras, Kuala Lumpur, MALAYSIA Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri Damansara, 52200 Kuala Lumpur",,"Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri Damansara, 52200 Kuala Lumpur"
,TM2020004990,11 March 2020,,,"The first trade mark in the series is limited to the colours as shown in the representation on the form of application. exclusive use of the words ""lime"", ""gamat & madu plus"", ""drops"" and ""brands"". Candies; Candies [sweets]; Non-medicated sugar candies; Starch-based candies; Sugar-free candies; Herbal honey lozenges [confectionery]; Lozenges [confectionery]; Non- medicated lozenges [confectionery]. PA NOK CHING ; 623, Kawasan Perusahaan Tandop Baru, 05400, Alor Setar Kedah, MALAYSIA Bo Seng, 30300 Ipoh, Perak",,"Foo Kit Sin, DLAWIP Associate Plt. 61, Jalan Lim Bo Seng, 30300 Ipoh, Perak"
,TM2020022571,1 October 2020,,,"Artificial coffee; Coffee; Coffee beverages; Ground coffee; Instant coffee; Prepared cocoa-based beverages; Cocoa beverages with milk; Sugar cubes; Sugar*. CHEK HUP SDN. BHD. ; SD2567-D, Lot No. 34144, 2 ½ Miles, Jalan Jelapang, 30020 Ipoh, Perak, MALAYSIA 3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar Puchong, 47160 Puchong, Selangor",,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3- 3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar Puchong, 47160 Puchong, Selangor"
,TM2024039868,17 December 2024,,,"Rice; Pasta; Pasta-based prepared meals; Noodle-based prepared meals; Noodles; Vermicelli; Macaroni; Spaghetti; Laksa [rice noodle-based dish]; Rice noodles; Rice vermicelli; Chinese noodles; Dried noodles; Instant noodles; Ramen noodles. AURAJUBLI SDN. BHD. ; Lot 208, Kampong Tok Khalifah, Mukim Sungai Panjang, 45300 Sungai Besar, Selangor, MALAYSIA IPeople House, 7A Clove Hall Road, 10050 Georgetown, Pulau Pinang",,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, IPeople House, 7A Clove Hall Road, 10050 Georgetown,"
,TM2025007843,13 March 2025,,,"Tea; Tea dust; Tea based beverages; Tea products; Beverages made from tea; Preparations for making beverages (tea based); Instant powder for making tea. BOH PLANTATIONS SDN. BHD.; No. 9, Persiaran Hampshire Off Jalan Ampang, 50450 Kuala Lumpur, MALAYSIA Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur CarbLite",,"Indran A/L Shanmuganathan, Shearn Delamore & Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur"
,TM2025010342,3 April 2025,,,"Coffee; Herbal teas*; Sweets; Candies; Bread*; Biscuits; Cookies; Freeze-dried dishes with the main ingredient being rice; Cereal preparations; Noodles; Cereal-based snack food; Condiments. DBC (HK) BIOCARE LIMITED ; Flat 03 15/F Carnival Commercial Building 18 Java Road North Point, 999077, HONG KONG KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur Sparkora BBQ",,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur"
,TM2025010400,4 April 2025,,,"Coffee; Tea-based beverages; Tea; Sugar; Sweets; Confectionery; Treacle; Cereal-based snack food; Instant rice; Cereal preparations; Rice; Noodle-based prepared meals; Starch for food; Ice cream; Condiments; Ferments for pastes; Aromatic preparations for food; Meat tenderizers for culinary purposes; Pastries; Pre-packaged lunches consisting primarily of rice, and also including meat, fish or vegetables. SINGAPORE FLAME BBQ HOLDINGS PTE. LTD. ; 150 Beach Road, #28-05, Gateway West, 189720, SINGAPORE Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor",,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
,TM2025010664,8 April 2025,,,"Brownies; Chocolate brownies; Cakes; Bread mixes; Bread; Biscuits for cheese. KHADIJAH BINTI KHAIDZIR TRADING AS KHADIJAH COLLECTION; D-2-4 Blok Orkid Kompleks Perumahan Pdrm Mersing Km5 Jalan Jemaluang, 86800 Mersing, Johor, MALAYSIA",,
,TM2025012449,21 April 2025,,,"representation on the form of application. appearing in the mark has no meaning. Mark trasliteration; Jin ru yi Chocolate; Coffee, tea, cocoa and coffee substitutes; Coffee, tea, cocoa, sugar, rice, tapioca, sago, coffee substitutes; Bread, pastries and confectionery; Cake flour; Condiments; Confectionery; Cooking salt; Edible essences for foodstuffs other than essential oils; Essences for foodstuffs, except etheric essences and essential oils; Flour and preparations made from cereals; Wheat flour for food; Food flavourings, other than essential oils; Food seasonings; Flavourings, other than essential oils, for beverages; Gluten free flour; Gluten- free confectionery; Corn flour; Honey; Maize flour; Mustard; Potato flour for confectionery; Potato starch for food; Rice; Salt; Sauces [condiments]; Seasonings; Spices; Starch for food; Sugar, honey, treacle; Tapioca and sago; Tapioca for sauces and other condiments; Wheat flour; Yeast, baking- powder; Fruit flavorings for food or beverages, except essences; Mayonnaise. NG CHEE LEE (PTE) LTD. ; 6001, Beach Road, #09-11, Golden Mile Tower, SINGAPORE 199589 Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan Sulaiman, 50000 Kuala Lumpur",,"Md. Noor Bin Rahmat, Minor IP Management And Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan Sulaiman, 50000 Kuala Lumpur"
,TM2025013209,25 April 2025,,,"Ice cream; Ice cream bars; Ice cream, sorbets and other edible ices; Non-dairy ice cream. AHMAD MUSLIM BIN HUSSIN TRADING AS MUSLIM JUSPIO ENTERPRISE ; C138 Lorong Inai 10, Taman Perumahan Gong Badak 3, 21300 Kuala Nerus, Terengganu, MALAYSIA",,
,TM2025013211,25 April 2025,,,"Lollipops [confectionery]; Bitter chocolate; Black chocolate; Chocolate bars; Chocolate products. JAWA PARIZA BINTI WAHAB TRADING AS ZTY CHOCOLATE ; Lot 4927 Kg Atas Tol, 21070 Kuala Terengganu, Terengganu, MALAYSIA",,
,TM2025013212,25 April 2025,,,"Fresh pizzas; Frozen pizza. NURUL FARHANA BINTI HUSIN TRADING AS NURUL FARHANA BINTI HUSIN; Pusat Aperantis Pertanian Sg Tong, 21500 Setiu, Terengganu, MALAYSIA",,
,TM2025013214,25 April 2025,,,"Chilli sauce; Chilli seasonings; Vinegar, sauces and other condiments; Spices; Processed herbs; Seasonings; Salt; Preserved garden herbs; Chilli paste for use as a seasoning; Chilli powder. SALBIAH BINTI NGAH TRADING AS IFFAH SUHAIMI FOOD INDUSTRY ; PT 5699, Jalan Kubang Bujuk, Kampung Kubang Tepak, 21200 Kuala Terengganu, Terengganu, MALAYSIA",,
,TM2025013234,25 April 2025,,,"Mixes for pastry; Pastries; Pastry mixes; Puff pastry; Biscuits; Cookies; Pastry; Pastry shells; Shortcrust pastry; Spring rolls. CHE ZULILAWATI BINTI CHE BUSU TRADING AS NURAA DELICIOUS LEGACY ; No Lot 865 Perumahan Annur Kg Pulau Ribu, 22000 Jerteh, Terengganu, MALAYSIA",,
,TM2025013237,25 April 2025,,,"Brownies; Cakes; Biscuits; Cookies; Cupcakes; Tart shells; Cheese biscuits; Crust tart shells; Rhubarb tarts; Tarts; Food products consisting primarily of flour; Confectionery. AZLINA BINTI SAMIAN TRADING AS AZLINA BINTI SAMIAN ; No. 19, Jalan Mawar 3, Kawasan Perniagaan, Felda Pemanis 01, 85000 Segamat, Johor, MALAYSIA",,
,TM2025013241,25 April 2025,,,"exclusive use of the word ""studiokueh"". Lasagne. NUR HIDAYAH BINTI ZAKARIA TRADING AS MNZ CAFE & MART ; Lot 5024 Kg. Pulau Kerengga, 21600 Marang, Terengganu, MALAYSIA",,
,TM2025013255,25 April 2025,,,"Frozen pastries; Frozen confectionery; Confectionery. ZAKARIA BIN ABDULLAH TRADING AS ZAKARIA BIN ABDULLAH ; Lot 1857, Kampung Kubang Parit, 20050 Kuala Terengganu, Terengganu, MALAYSIA",,
,TM2025013258,25 April 2025,,,"Frozen pastries; Frozen confectionery. WAN MUHAMMAD 'ADLI BIN WAN MOHD RAZIN TRADING AS WAMAZ ENTERPRISE ; 897, Kampung Padang Macang, Manir, 21200 Kuala Terengganu, Terengganu, MALAYSIA",,
,TM2025013409,28 April 2025,,,"No colour claim Mark transaltion: ""safe""; ""beautiful"" respectively Seasonings. SOON SIEW LING TRADING AS ECOWAY ENTERPRISE ; No. 16 Jalan Temenggung 13/9, Bandar Mahkota Cheras, 43200 Kajang, Selangor, MALAYSIA",,
,TM2025013534,29 April 2025,,,"Confectionery; Biscuits; Cookies; Cakes. MARYAM DIYANA BINTI NASARUDIN TRADING AS DYANS HOMEMADE BAKERY ; No. 17 Kampung Bukit Mentaus, Batu 5, Jalan Muar, 85000 Segamat, Johor, MALAYSIA",,
,TM2025013530,29 April 2025,,,"Cakes; Confectionery; Biscuits; Cookies; Pastry; Pastry shells; Shortcrust pastry; Spring rolls; Food products consisting primarily of flour; Frozen pastries; Frozen confectionery; Mixes for pastry; Pastries; Pastry mixes; Puff pastry. ZARINA BINTI MOHD TALHA TRADING AS MAMA RIENA MAJU ENTERPRISE; Rumah Kakitangan Felda Plantation Management, Felda Maokil 01, 85300 Labis, Johor, MALAYSIA",,
,TM2025013524,29 April 2025,,,"Biscuits; Cookies; Cakes; Gluten-free cereal-based snack foods; Rice-based snack foods; Snack mixes consisting of crackers, pretzels or popped popcorn; Wheat-based snacks. NURUL AIDA BINTI BASIRON TRADING AS AIDA RAHIZAL ENTERPRISE ; No. 253 B, Felda Tenggaroh 02, 86810 Mersing, Johor, MALAYSIA",,
,TM2025013923,30 April 2025,,,"representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”. Agave syrup [natural sweetener]; Aromatic preparations for food; Artificial sweeteners for culinary purposes; Biscuits; Cookies; Bread rolls; Bread*; Breadcrumbs; Buns; Cakes; Candy decorations for cakes; Cereal bars; Cereal-based snack food; Chamomile-based beverages; Chips [cereal products]; Chocolate; Chocolate beverages with milk; Chocolate spreads containing nuts; Chocolate-based beverages; Cocoa; Cocoa beverages with milk; Cocoa nibs; Cocoa substitutes; Cocoa-based beverages; Coffee; Coffee beverages with milk; Coffee capsules, filled; Coffee flavourings; Coffee flavorings; Coffee substitutes; Coffee- based beverages; Confectionery; Sugar confectionery; Crackers; Crème brûlée; Croissants; Croutons; Crystallized rock sugar*; Danish pastries; Edible paper; Edible paper wafers; Essences for foodstuffs, except etheric essences and essential oils; Filled biscuits; Filled cookies; Flavourings, other than essential oils, for beverages; Flavorings, other than essential oils, for beverages; Flavourings, other than essential oils, for cakes; Flavorings, other than essential oils, for cakes; Flour*; Meal*; Fondants [confectionery]; Food flavourings, other than essential oils; Food flavorings, other than essential oils; Fruit confectionery; Fruit coulis [sauces]; Gluten-free bread; Herbal teas*; Iced tea; Infusions, not medicinal; Kelp tea; Kimchi pancakes; Lozenges [confectionery]; Pastilles [confectionery]; Macarons; Natural sweeteners; Oat flakes; Orange blossom water for culinary purposes; Pains au chocolat; Chocolatines; Palm sugar; Pancakes; Petit-beurre biscuits; Petits fours; Pies; Rusks; Saffron [seasoning]; Sandwiches; Sorbets [ices]; Sherbets [ices]; Spring rolls; Sugar substitutes for culinary purposes; Sugar*; Sweets; Candies; Tea beverages with milk; Tea substitutes; Tea-based beverages; Tea*; Unroasted coffee beans; Waffles. CAMEL STEP TRADING COMPANY ; Hay Al Ta’awun, Tariq Abi Baker Al Siddiq Al Far’I, 6016, 13313, 8169641, Riyadh, SAUDI ARABIA Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur",,"Nur Atiqah Bt Samian, TAG Intellectual Property Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur"
,TM2025014407,6 May 2025,,,"Beverages made from coffee; Beverages made of coffee; Beverages with a coffee base; Coffee; Coffee beverages; Coffee drinks; Flavored coffee; Coffee-based beverages; Beverages with coffee, Cocoa, Chocolate or tea base; Drinks made of coffee; Instant coffee; Beverages made of tea; Beverages with a tea base; Beverages with tea base; Drinks made of tea; Instant tea; Tea based beverages; Tea based drinks; Tea beverages. YAP BOON CHAI ; Lot 16 Kawasan Perindustrian Padang Besar, Mukim Titi Tinggi, 02100 Padang Besar, Perlis, MALAYSIA",,
,TM2025014451,7 May 2025,,,"chinese charactersdoes not render any meaning together Ramen; ramen [japanese noodle-based dish]; ramen noodles; food products consisting principally of flour; asian dried noodles; egg noodles; japanese noodles; noodles; rice noodles; soba noodles; somen noodles; stir-fried noodles; wheat flour for food; wheat flour for food purposes; noodle- based prepared meals; noodle-based prepared meals for toddlers. RAIJIN DINING SDN BHD; 80, Jalan Sultan, City Centre, 50000 Kuala Lumpur, MALAYSIA Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya Selatan, 46000 Petaling Jaya, Selangor",noodles; bifun [japanese rice noodles]; chinese noodles;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya Selatan, 46000 Petaling Jaya, Selangor"
30,TM2025014520,7 May 2025,,,"Registration of this trade mark shall give no right to the exclusive use of the word “bakery”. Flour and preparations made from cereals; Rice cakes; Bread; Almond paste; Seasonings; Tea; Tea-based beverages; Chocolate products; Coffee; Coffee preparations and beverages; Coffee-based drinks; Drinks made of coffee; Flowers or leaves for use as tea substitutes; Fruit teas; Herbal tea; Tea substitutes; Aromatic preparations for food; Aromatic teas, other than for medicinal use; Baked goods; Batter mixes; Bread, pastries and confectionery; Cereals prepared for human consumption; Chocolate; Cocoa; Cocoa-based beverages; Dessert puddings; Edible ices; Flavoured ices; Fresh bread; Frozen confectionery; Frozen meals consisting primarily of pasta or rice; Frozen yoghurt confections; Gateaux; Gelato; Hamburger sandwiches; Herbal infusions; Honey; Ice cream; Muesli; Noodles; Noodle-based prepared meals; Pasta; Prepared meals consisting primarily of pasta or rice; Pre-packaged lunches consisting primarily of rice, and Spices; Sweets.","also including meat, fish or vegetables; Sauces [condiments];",
,TM2025014918,9 May 2025,,,"Biscuits; Cocoa; Processed cereals; Cereal based snack foods; Cereal-based snacks; Sweets; Dairy ice-cream; Ice- cream; Candies; Candies [sweets]; Sugar; Honey; Cereal bars; Chocolate; Chocolate sauce; Powdered sugar. XIE, CHUANGSHEN; Room 802, No. 16, Lane 88, Xinjiangwancheng Road, Yangpu District, Shanghai, CHINA Bhd 3-1, Jalan 3/116D, Kuchai Entrepreneurs' Park Off Jalan Kuchai Lama, 58200 Kuala Lumpur",,"Lim Hui Qi, Lim Chong Chuan & Associates Sdn Bhd 3-1, Jalan 3/116D, Kuchai Entrepreneurs' Park Off Jalan Kuchai Lama, 58200 Kuala Lumpur"
,TM2025015057,9 May 2025,,,"Coffee, tea, cocoa and artificial coffee; Rice; Flour and preparations made from cereals; Mustard; Vinegar; Sauces [condiments]; Condiments; Spices; Seasonings; Food flavorings, other than essential oils; Dressings for salad; Mayonnaise; Soya sauce; Oyster sauce; Soy sauce; Cooking sauce; Ready-to-serve sauces; Pasta and noodles; Tapioca and sago; Bread, pastries and confectionery; Chocolate; Ice cream, sorbets and other edible ices; Sugar, honey, treacle; Yeast, baking-powder; Salt, seasonings, spices, preserved herbs; Ice (frozen water); Confectionery, namely desserts, Chinese desserts, sweet soup, bottled desserts (sweet soup), canned desserts (sweet soup); Dumplings; Chinese stuffed dumpling (Gyoza); Steamed dumplings; Rice dumplings; Pre- cooked dumplings; Frozen dumplings; Congee; Rice-based congee; Congee and food preparations made from rice primarily; Porridge; Noodle-based prepared meals; Instant rice with prepared meals (primarily of rice); Frozen rice boxes (primarily of rice); Frozen noodle-based prepared meals; Frozen pasta; Frozen pasta-based prepared meals; Chinese style frozen prepared food products, namely, frozen noodle- based dinners, frozen rice-based dinners; Prepared and prepackaged meals consisting primarily of pasta and rice. LEE KUM KEE COMPANY LIMITED ; 2-4 Dai Fat Street, Tai Po Industrial Estate, New Territories, HONG KONG Chan, Jalan Raja Chulan, 50200 Kuala Lumpur",,"Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy Chan, Jalan Raja Chulan, 50200 Kuala Lumpur"
,TM2025015059,9 May 2025,,,"Coffee, tea, cocoa and artificial coffee; Rice; Flour and preparations made from cereals; Mustard; Vinegar; Sauces [condiments]; Condiments; Spices; Seasonings; Food flavorings, other than essential oils; Dressings for salad; Mayonnaise; Soya sauce; Oyster sauce; Soy sauce; Cooking sauce; Ready-to-serve sauces; Pasta and noodles; Tapioca and sago; Bread, pastries and confectionery; Chocolate; Ice cream, sorbets and other edible ices; Sugar, honey, treacle; Yeast, baking-powder; Salt, seasonings, spices, preserved herbs; Ice (frozen water); Confectionery, namely desserts, Chinese desserts, sweet soup, bottled desserts (sweet soup), canned desserts (sweet soup); Dumplings; Chinese stuffed dumpling (Gyoza); Steamed dumplings; Rice dumplings; Pre- cooked dumplings; Frozen dumplings; Congee; Rice-based congee; Congee and food preparations made from rice primarily; Porridge; Noodle-based prepared meals; Instant rice with prepared meals (primarily of rice); Frozen rice boxes (primarily of rice); Frozen noodle-based prepared meals; Frozen pasta; Frozen pasta-based prepared meals; Chinese style frozen prepared food products, namely, frozen noodle- based dinners, frozen rice-based dinners; Prepared and prepackaged meals consisting primarily of pasta and rice. LEE KUM KEE COMPANY LIMITED ; 2-4 Dai Fat Street, Tai Po Industrial Estate, New Territories, HONG KONG Chan, Jalan Raja Chulan, 50200 Kuala Lumpur",,"Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy Chan, Jalan Raja Chulan, 50200 Kuala Lumpur"
,TM2025025737,31 July 2025,,,"No colour claim Sugar-free sweets; Coffee, tea, cocoa, sugar, rice, tapioca, sago, coffee substitutes; Liquid sugar. ZECORUS SDN. BHD. ; 12A, Jalan 1/5, Taman Industri Selesa Jaya, 43300 Sri Kembangan, Selangor, MALAYSIA Raidah Salwa, T3-16-12, 3 Towers, Jalan Ampang, 50450 Ampang, Kuala Lumpur",,"Raidah Salwa Binti Mat Redzuan, Chambers Of Raidah Salwa, T3-16-12, 3 Towers, Jalan Ampang, 50450 Ampang, Kuala Lumpur"
,TM2020017011,7 August 2020,,,"Registration of this trade mark shall give no right to the exclusive use of the word ""cameron"". Fresh vegetables; Fresh and unprocessed fruits, vegetables, nuts and seeds; Fresh edible root vegetables; Fresh vegetable marrows; Organic fresh fruit and vegetables; Raw and unprocessed grains and seeds; Cereal seeds, unprocessed; Fresh cashew nuts; Fresh coconuts; Fresh hazelnuts; Nuts, unprocessed; Walnuts, fresh; Fresh tomatoes; Fresh okra; Wheat; Grains [cereals]; Fresh lemons; Fresh mushrooms; Agricultural products; Horticultural products; Fresh flowers, edible; Fresh herbs; Spinach, fresh; Cabbage, fresh; Lettuce, fresh; Fresh jackfruits; Beans, fresh. TEONG PLANTATION SDN. BHD. ; 42, Sayur Stor, Jalan Besar, Kampung Raja, 39010 Cameron Highlands, Pahang, MALAYSIA Bo Seng, 30300 Ipoh, Perak",,"Foo Kit Sin, DLAWIP Associate Plt. 61, Jalan Lim Bo Seng, 30300 Ipoh, Perak"
,TM2022014457,13 June 2022,,,"Pet food; Cat food; Foodstuffs and beverages for animals; Pet treats in the nature of bully sticks; Edible pet treats; Edible pet chews; Beverages for pets; Edible cat treats; Cat biscuits; Cat treats, edible; Digestible chewing bones for dogs; Digestible teeth cleaning treats for dogs; Dog biscuits; Canned foodstuffs for dogs; Dog treats, edible; Edible organic pet treats for dogs. THE ARK PET FOOD (M) SDN. BHD. ; 178--23, Jalan Utama 11, Taman Temiang Utama, 84000 Muar, Johor, MALAYSIA 13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur",,"Aravind A/L Gangadaran, Primus IP Sdn. Bhd. 13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur"
,TM2023009150,29 March 2023,,,"The second trademark in the series limited to the colours as shown in the representation on the form of application. The transliteration and translation of the chinese characters appearing in the mark is ""huan"", ""yu"", ""chong wu"" meaning ""loop"", ""universe"", ""pet"" respectively. Beverages for pets; Edible organic pet treats for cats; Edible organic pet treats for dogs; Edible pet treats; Edible vegan pet treats for cats; Edible vegan pet treats for dogs; Foodstuffs for pets; Pet beverages; Pet food; Sanded paper [litter] for pets; Sanded paper sheets for pet litter boxes; Foodstuffs and beverages for animals; Foodstuffs for animals; Litter for animals; Litter for domestic animals; Litter for small animals; Meal for animals; Milk substitutes for animals; Milk-based foodstuffs for animals; Animal feed; Straw litter for animals; Beverages for cats; Canned foodstuffs for cats; Cat biscuits; Cat food; Cat litter; Cat treats, edible; Beverages for dogs; Canned foodstuffs for dogs; Digestible chewing bones for dogs; Digestible teeth cleaning treats for dogs; Dog biscuits; Dog food; Dog treats, edible; Edible chewing bones for dogs; Edible chews for dogs; Edible dog treats; Bedding made of recycled paper for small animals; Paper for use as animal bedding. PET UNIVERSE SDN. BHD. ; 30, Jalan Sulaiman 1, Taman Putra Sulaiman, 68000 Ampang, Selangor, MALAYSIA Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur",,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
,TM2025004801,18 February 2025,,,"has no meaning. Dog biscuits; Fodder; Grains for animal consumption; Litter for animals; Litter peat; Stall food for animals; Pet food; Sanded paper [litter] for pets; Aromatic sand [litter] for pets; Sand for pet toilets; Animal foodstuffs; Cereal seeds, unprocessed; Hay; Beverages for pets; Processed grains for animal consumption. Xiaomajiazi Village, Mangnong Town, Ningcheng County, Chifeng City, Neimenggu, 024000, CHINA PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor","NINGCHENG COUNTY JINLONG BENTONITE CO., LTD. ;","Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor"
,TM2025008159,17 March 2025,,,"It is a condition of registration of that word(s) appearing in the mark shall not be used as a varietal name. much/more/many; ""bao"" means treasure/treasured object. The combination of the three chinese characters does not convey any meaning. Grains and agricultural, horticultural and forestry products not vegetables; Seeds; Natural plants and flowers; Malt; Foodstuffs and beverages for animals; Bones for animals; Edible chews for animals; Biscuits for animals; Products for animal litter; Pet food; Beverages for pets. DFI INTERNATIONAL BRANDS LIMITED ; Jardine House, 33-35 Reid Street, Hamilton, BERMUDA K.2.13, Level 2, Block K, Solaris Mont Kiara, Jalan Solaris, 50480 Kuala Lumpur TOTAL CATLICIOUS",,"Eunice Chan Wei Lynn, Aaron Sankar & Co., Suite K.2.13, Level 2, Block K, Solaris Mont Kiara, Jalan Solaris, 50480 Kuala Lumpur"
,TM2025013433,28 April 2025,,,"Food for animals. NEOVIA NUTRIÇÃO E SAÚDE ANIMAL LTDA ; Rodovia Fernão Dias Km 755, Distrito Industrial, Três Corações - MG, 37418-760, BRAZIL (Malaysia) Sdn. Bhd. Suite 3B-19-3, Level 19, Block 3B, Plaza Sentral, Jalan Stesen Sentral 5, 50470 Kuala Lumpur",,"Patrick A/L M.G Mirandah, Mirandah Asia (Malaysia) Sdn. Bhd. Suite 3B-19-3, Level 19, Block 3B, Plaza Sentral, Jalan Stesen Sentral 5, 50470 Kuala Lumpur"
,TM2023009590,30 March 2023,,,"Beverages consisting of a blend of fruit and vegetable juices; Beverages, non-alcoholic; Fruit-based beverages; Fruit juices and drinks; Fruit juices; Fruit concentrates and purees used for making beverages; Concentrated fruit juices; Dried fruit beverages, non-alcoholic; Fruit purées for making beverages. CHOI SHIN YEE TRADING AS CKF SUCCESS ENTERPRISE; 18, Jalan Clover 6, Garden Residence, 63000 Cyberjaya, Selangor, MALAYSIA Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur",,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
,TM2025007396,11 March 2025,,,"combination of these chinese characters have no meaning. Beer; Whey beverages; Cola drinks; Plant-based beverages; Fruit juices; Waters [beverages]; Carbonated water; Soda pops; Seltzer water; Soda water; Cocktails, non-alcoholic; Non-alcoholic beverages; Mung bean beverages; Non- alcoholic beverages flavoured with tea; Energy drinks; Fruit- flavored soft drinks; Non-alcoholic beverages flavoured with coffee; Fruit-flavored carbonated drinks; Plant-based protein enriched beverages; Non-alcoholic vegetable juice drinks; Preparations for making non-alcoholic beverages. DAYAO JIABIN BEVERAGE CO., LTD. ; Room 208, No. 41, Xiangyang Street, High-Tech Industrial Park, Dawukou District, Shizuishan City, Ningxia Hui Autonomous Region, CHINA Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor",,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
